交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-05-21,新北市,新店區,新北市新店區松林路３０－９號四樓,華廈(10層含以下有電梯),16.210975607911585,44.4,190.0,11.720330139000001,1,0,1,0701222,四層,七層
2026-05-13,新北市,新店區,新北市新店區明德路３７號,公寓(5樓含以下無電梯),25.978700974201285,47.8,2250.0,86.60925295050001,3,2,2,0670729,一層,五層
2026-05-08,新北市,新店區,新北市新店區永平街４９號六樓之１,華廈(10層含以下有電梯),30.367976138799104,32.8,1100.0,36.2224779805,3,2,2,0820712,六層,七層
2026-05-07,新北市,新店區,新北市新店區三民路１８１號五樓,公寓(5樓含以下無電梯),32.89687623363286,46.9,1200.0,36.477684582500004,3,1,1,0680618,五層,五層
2026-05-06,新北市,新店區,新北市新店區竹林路２巷３３號五樓,公寓(5樓含以下無電梯),32.63975122399067,44.4,928.0,28.431734471000002,2,2,2,0701202,五層,五層
2026-05-05,新北市,新店區,新北市新店區安民街１９０巷２２號六樓,華廈(10層含以下有電梯),23.985225899445968,25.9,1400.0,58.369254009500004,2,2,1,0890530,六層,八層
2026-05-03,新北市,新店區,新北市新店區秀岡二街３３號,透天厝,66.37757748915915,23.7,2300.0,34.6502466345,4,2,3,0910817,全,三層
2026-05-03,新北市,新店區,新北市新店區北宜路二段１１７之１號十樓,住宅大樓(11層含以上有電梯),13.830300518636268,25.3,668.0,48.299832899500004,1,2,1,0900120,十層,十六層
2026-05-02,新北市,新店區,新北市新店區永業路８１巷３弄１號,公寓(5樓含以下無電梯),32.8999012337463,45.4,1150.0,34.9543788545,5,1,2,0691212,一層，平台,五層
2026-04-30,新北市,新店區,新北市新店區三民路１１７巷５弄２號,公寓(5樓含以下無電梯),24.308900911583784,51.3,1520.0,62.5285926965,3,1,1,0640103,一層,四層
2026-04-26,新北市,新店區,新北市新店區中正路４００巷６號,公寓(5樓含以下無電梯),24.77475092905316,,1856.0,74.91503851300001,3,2,1,,一層,四層
2026-04-25,新北市,新店區,新北市新店區環河路１７６號十四樓,住宅大樓(11層含以上有電梯),112.04600420172514,19.8,5650.0,50.425783233,4,2,3,0950703,十四層,二十三層
2026-04-24,新北市,新店區,新北市新店區中正路３２８巷４５號二樓,公寓(5樓含以下無電梯),30.334701137551292,,1250.0,41.20694060350001,3,2,1,,二層,四層
2026-04-24,新北市,新店區,新北市新店區安康路三段１２６號五樓,華廈(10層含以下有電梯),62.278702335451335,3.5,2400.0,42.0948744545,3,2,2,1111110,五層,七層
2026-04-23,新北市,新店區,新北市新店區寶興路４５巷２弄２０號十樓,住宅大樓(11層含以上有電梯),37.41622640310849,16.6,2098.0,69.342807317,2,2,1,0980922,十層,十二層
2026-04-22,新北市,新店區,新北市新店區北新路二段１２２號十一樓之二,住宅大樓(11層含以上有電梯),11.404250427659392,19.4,1025.0,89.8786743155,1,1,1,0951109,十一層,十八層
2026-04-21,新北市,新店區,新北市新店區永業路４巷８號四樓,公寓(5樓含以下無電梯),24.46620091748253,49.2,660.0,26.975866757,3,2,1,0660208,四層,四層
2026-04-21,新北市,新店區,新北市新店區中正路７００巷４７號七樓,住宅大樓(11層含以上有電梯),57.98320217437008,26.2,2380.0,41.0462794525,3,2,2,0890225,七層,十六層
2026-04-20,新北市,新店區,新北市新店區光明街２００巷１８弄３號三樓,公寓(5樓含以下無電梯),19.523350732125653,53.4,936.96,47.9917337375,2,1,1,0611207,三層,四層
2026-04-20,新北市,新店區,新北市新店區溪園路３８９之１１號七樓,住宅大樓(11層含以上有電梯),16.83412563127971,22.4,1208.0,71.7590055735,0,0,0,0921201,七層,十四層
